source,target,type,relationship
MS3.1,g21,directed,glyph
MS3.1,g20,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g11,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g11,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g54,directed,glyph
MS3.1,g14,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g46,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g26,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g26,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,l4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g21,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g25,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g13,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g26,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g10,directed,glyph
MS3.1,g11,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l6,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g46,directed,glyph
MS3.1,l6,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g46,directed,glyph
MS3.1,g7,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g26,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g26,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g26,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g10,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g46,directed,glyph
MS3.1,g10,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l6,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g26,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g46,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g10,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l1,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g19,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g26,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g11,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g16,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g13,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g16,directed,glyph
MS3.1,g16,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g16,directed,glyph
MS3.1,g16,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g16,directed,glyph
MS3.1,g16,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g21,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g11,directed,glyph
MS3.1,g10,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g13,directed,glyph
MS3.1,g30,directed,glyph
MS3.1,g30,directed,glyph
MS3.1,g16,directed,glyph
MS3.1,g16,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g21,directed,glyph
MS3.1,g7,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g30,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g13,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g13,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g20,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g21,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g16,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g17,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g26,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g26,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g26,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g17,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g16,directed,glyph
MS3.1,g26,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g26,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g13,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g25,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g20,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g21,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g21,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g25,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l6,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g10,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g10,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l6,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g11,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l6,directed,glyph
MS3.1,g46,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g25,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g10,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g13,directed,glyph
MS3.1,g26,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g26,directed,glyph
MS3.1,g14,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g46,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g17,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g10,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g21,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l6,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g16,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g21,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,l4,directed,glyph
MS3.1,g20,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,l4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l6,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g7,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l6,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g10,directed,glyph
MS3.1,g14,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g10,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g20,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g25,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g11,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g13,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g17,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g20,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g17,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g10,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g10,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g20,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l6,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l6,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g16,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g2,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g21,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g10,directed,glyph
MS3.1,g8,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
